,,,,公 民 館 数,,図 書 館 数,,博 物 館 数,,青少年教育施設数,,常設映画館数,,社会体育施設数,,多目的運動広場数,,青少年学級・講座数,,成人一般学級・講座数,,都,,,,,女性学級・講座数,,高齢者学級・講座数,,ボランティア活動の,,スポーツの年間行動者率,,旅行・行楽の年間行動者率,,海外旅行の年間行動者率,,客室稼働率,,一般旅券発行件数,,都
,,,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,道,,,,,（女性人口100万人当たり）,,（人口100万人当たり）,,年間行動者率,,（10歳以上）,,（10歳以上）,,（10歳以上）,, ,,（人口千人当たり）,,道
,単　位,,,館,,館,,館,,所,,館,,施設,,施設,,学級･講座,,学級･講座,,｜,,単　位,,,学級･講座,,学級･講座,,％,,％,,％,,％,,％,,件,,｜
,年　度,,,2011,,2011,,2011,,2011,,2014,,2011,,2011,,2010,,2010,,ド,,年　度,,,2010,,2010,,2011,,2011,,2011,,2011,,2015,,2015,,ド
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,Ishikawa-ken,,270.2,10,42.0,9,25.7,5,18.0,4,6.9,33,660.4,10,62.6,29,"3,457.0",3,"9,952.2",3,17,17,石 川 県,Ishikawa-ken,,"4,989.9",2,"1,396.0",3,29.2,17,62.1,20,74.4,14,6.9,17,72.4,11,21.3,17,17
18,福井県,Fukui-ken,,257.8,14,46.1,6,22.4,6,17.4,5,16.5,8,671.2,8,62.3,30,"4,433.8",2,"9,932.9",4,18,18,福 井 県,Fukui-ken,,"3,663.0",4,"1,253.9",4,31.3,10,57.4,39,74.5,12,6.4,21,65.6,20,20.2,21,18
19,山梨県,Yamanashi-ken,,583.4,1,63.0,1,33.8,2,18.7,3,5.9,40,748.0,5,148.2,3,"1,149.4",14,"3,464.4",15,19,19,山 梨 県,Yamanashi-ken,,"2,208.6",5,864.4,8,31.2,12,65.2,6,75.0,10,7.5,13,65.1,24,21.2,18,19
20,長野県,Nagano-ken,,577.0,2,54.2,2,37.3,1,14.5,8,13.3,17,952.4,1,124.2,8,828.8,23,"4,051.7",12,20,20,長 野 県,Nagano-ken,,916.6,18,510.1,18,33.1,6,63.7,9,75.3,9,6.3,22,55.1,46,19.4,24,20
21,岐阜県,Gifu-ken,,150.2,27,37.2,10,11.1,26,10.6,16,6.4,37,547.1,20,103.3,16,934.7,19,"2,407.3",26,21,21,岐 阜 県,Gifu-ken,,485.8,28,183.6,38,32.8,7,61.7,24,74.6,11,8.0,12,62.9,34,22.9,14,21
22,静岡県,Shizuoka-ken,,41.9,44,25.6,32,10.7,28,6.4,37,10.8,20,355.8,35,65.9,28,400.8,33,"1,163.1",39,22,22,静 岡 県,Shizuoka-ken,,428.0,31,122.4,39,28.5,22,63.3,12,71.0,26,7.5,13,65.9,19,23.8,12,22
23,愛知県,Aichi-ken,,52.6,42,12.7,46,5.9,42,3.9,45,7.5,31,240.2,42,32.8,43,307.8,40,781.6,42,23,23,愛 知 県,Aichi-ken,,106.0,43,65.6,44,23.1,44,65.1,7,77.6,3,11.4,4,77.0,6,29.4,6,23
24,三重県,Mie-ken,,205.2,20,21.7,41,9.7,32,5.4,41,13.7,12,326.5,36,46.6,39,487.9,31,"3,218.3",16,24,24,三 重 県,Mie-ken,,344.8,35,437.3,24,26.7,30,62.1,20,73.3,20,7.5,13,61.6,37,23.2,13,24
25,滋賀県,Shiga-ken,,104.0,32,35.4,14,13.4,16,11.3,15,9.2,25,452.6,29,97.6,17,921.5,20,"2,744.6",20,25,25,滋 賀 県,Shiga-ken,,396.4,32,448.7,23,32.6,8,67.9,2,79.0,1,8.5,10,63.9,30,27.6,8,25
26,京都府,Kyoto-fu,,85.5,36,26.2,31,16.3,11,8.0,29,7.7,30,241.6,41,46.4,40,301.6,41,"1,407.4",36,26,26,京 都 府,Kyoto-fu,,163.4,40,122.2,40,23.2,43,63.3,12,74.1,16,10.1,8,79.7,3,29.8,3,26
