,,,,財政力指数,,実質収支比率,,地方債現在高の割合,,経常収支比率,,自主財源の割合,,一般財源の割合,,投資的経費の割合,,地方税割合,,地方交付税割合,,都,,,,,国庫支出金割合,,住 民 税,,固定資産税,,課税対象所得,,民生費割合,,社会福祉費割合,,老人福祉費割合,,児童福祉費割合,,生活保護費割合,,都,,,,,衛生費割合,,労働費割合,,農林水産業費割合,,商工費割合,,土木費割合,,警察費割合,,消防費割合,,教育費割合,,災害復旧費割合,,都,,,,,人件費割合,,扶助費割合,,普通建設事業費割合,,歳出決算総額,,民 生 費,,社会福祉費,,老人福祉費,,児童福祉費,,生活保護費,,都,,,,,衛 生 費,,土 木 費,,警 察 費,,消 防 費,,教 育 費,,社会教育費,,災害復旧費,,公立小学校費,,公立中学校費,,都,,,,,公立高等学校費,,特別支援学校費<公立>,,幼 稚 園 費,,
05,秋田県,Akita-ken,,0.280,44,0.4,37,206.7,16,91.2,39,41.9,31,50.9,42,19.4,19,15.36,42,31.28,10,05,05,秋 田 県,Akita-ken,,10.86,36,74.3,45,51.4,44,"2,580.7",47,11.64,41,3.88,37,5.48,32,1.93,43,0.30,31,05,05,秋 田 県,Akita-ken,,3.02,32,0.65,17,9.78,4,15.90,1,10.34,36,4.02,43,6.32,5,18.43,40,0.99,12,05,05,秋 田 県,Akita-ken,,22.48,42,1.10,45,18.39,17,"1,186.2",6,229.4,18,66.5,11,238.3,6,406.2,26,"1,601.9",45,05,05,秋 田 県,Akita-ken,,69.8,12,121.7,15,24.2,18,36.9,3,166.0,10,12.7,16,11.4,8,"1,016.9",2,"1,108.4",7,05,05,秋 田 県,Akita-ken,,"1,290.8",4,"6,986.5",21,342.1,9,
06,山形県,Yamagata-ken,,0.324,34,1.2,18,207.3,15,93.5,21,41.1,32,56.0,27,17.6,25,18.91,34,31.59,8,06,06,山 形 県,Yamagata-ken,,11.27,32,82.3,38,52.0,43,"2,632.3",43,12.68,38,3.50,40,5.52,31,3.04,23,0.48,17,06,06,山 形 県,Yamagata-ken,,4.30,6,0.82,9,7.68,19,11.46,10,11.55,30,4.51,38,5.42,16,20.79,33,1.58,7,06,06,山 形 県,Yamagata-ken,,27.15,28,1.35,41,15.99,26,999.3,19,198.0,32,50.5,40,216.4,17,427.2,17,"1,818.5",22,06,06,山 形 県,Yamagata-ken,,62.9,18,113.0,18,22.7,25,26.9,15,168.0,8,14.5,7,11.3,9,927.4,7,"1,184.4",2,06,06,山 形 県,Yamagata-ken,,"1,240.2",7,"8,500.8",5,74.5,41,
07,福島県,Fukushima-ken,,0.469,20,1.5,13,74.0,47,96.7,6,53.2,11,28.2,47,16.6,30,11.32,47,13.12,41,07,07,福 島 県,Fukushima-ken,,29.30,2,94.4,29,58.2,30,"2,858.0",29,30.44,1,1.94,47,2.75,47,1.34,47,0.19,41,07,07,福 島 県,Fukushima-ken,,3.08,30,1.45,2,4.35,35,9.50,16,7.96,44,2.31,47,3.55,43,11.53,47,3.48,3,07,07,福 島 県,Fukushima-ken,,13.50,47,0.82,46,13.16,36,"1,777.7",1,584.7,1,52.8,36,214.9,19,354.2,45,"1,709.5",38,07,07,福 島 県,Fukushima-ken,,73.4,9,168.2,5,22.8,24,28.1,14,173.0,5,12.3,17,61.8,3,974.4,4,"1,055.1",11,07,07,福 島 県,Fukushima-ken,,"1,073.7",17,"6,520.0",29,333.9,10,
08,茨城県,Ibaraki-ken,,0.619,8,0.9,24,194.9,23,90.4,44,52.0,14,55.0,32,14.8,34,31.14,15,17.70,35,08,08,茨 城 県,Ibaraki-ken,,11.80,27,109.4,18,66.2,13,"3,091.6",14,14.15,25,4.78,18,5.57,30,3.32,16,0.42,23,08,08,茨 城 県,Ibaraki-ken,,3.16,28,0.89,5,4.77,34,8.29,19,14.67,7,5.21,23,6.07,6,24.93,11,0.47,23,08,08,茨 城 県,Ibaraki-ken,,28.39,22,1.98,24,14.37,32,788.9,35,177.3,43,52.1,37,179.8,42,364.9,41,"1,881.5",10,08,08,茨 城 県,Ibaraki-ken,,46.9,40,102.4,27,19.8,46,24.8,20,149.8,22,8.5,39,3.9,22,852.4,16,965.4,22,08,08,茨 城 県,Ibaraki-ken,,"1,023.3",27,"5,395.9",46,256.7,18,
09,栃木県,Tochigi-ken,,0.594,11,1.9,9,149.0,43,93.0,27,55.7,8,56.2,25,13.6,36,32.94,11,16.79,36,09,09,栃 木 県,Tochigi-ken,,11.82,26,112.3,10,70.0,9,"3,042.3",17,14.42,21,4.43,29,5.46,34,3.99,5,0.49,16,09,09,栃 木 県,Tochigi-ken,,4.40,5,0.64,19,4.88,33,12.23,8,9.75,37,5.52,20,4.79,31,24.77,13,0.08,42,09,09,栃 木 県,Tochigi-ken,,29.94,15,1.95,27,13.48,35,783.6,37,180.4,42,49.4,43,175.3,43,395.0,31,"1,749.6",33,09,09,栃 木 県,Tochigi-ken,,52.8,35,80.9,38,20.7,35,19.5,36,138.1,33,9.7,34,1.3,39,754.8,31,908.1,30,09,09,栃 木 県,Tochigi-ken,,902.0,38,"5,647.3",42,38.1,47,
10,群馬県,Gumma-ken,,0.575,12,1.1,20,162.5,41,93.7,19,52.1,13,57.0,22,17.0,27,32.62,12,17.71,34,10,10,群 馬 県,Gumma-ken,,11.94,25,112.6,9,68.2,11,"3,006.6",18,15.31,15,4.81,16,6.13,23,3.91,7,0.45,21,10,10,群 馬 県,Gumma-ken,,2.94,33,0.55,26,5.36,28,10.26,14,13.01,15,5.98,14,5.50,13,24.63,14,0.17,39,10,10,群 馬 県,Gumma-ken,,30.50,10,3.40,4,16.82,23,803.1,32,189.5,36,54.0,32,195.3,36,402.4,28,"1,845.6",19,10,10,群 馬 県,Gumma-ken,,46.6,41,92.0,30,22.1,27,23.8,24,150.0,21,11.6,22,0.9,42,761.6,29,968.3,20,10,10,群 馬 県,Gumma-ken,,937.8,36,"7,186.8",19,288.7,14,
11,埼玉県,Saitama-ken,,0.755,5,0.6,33,222.5,7,94.6,13,52.4,12,63.0,4,9.5,44,44.28,4,10.98,42,11,11,埼 玉 県,Saitama-ken,,10.32,38,118.9,7,60.9,26,"3,320.7",7,18.69,4,6.42,1,7.07,6,4.50,3,0.66,11,11,11,埼 玉 県,Saitama-ken,,2.90,36,0.61,21,1.87,44,1.71,43,9.37,38,7.96,6,5.73,11,30.05,1,0.03,44,11,11,埼 玉 県,Saitama-ken,,35.77,2,2.32,16,9.45,44,572.3,47,168.7,45,47.6,44,154.5,46,372.8,40,"1,815.1",23,11,11,埼 玉 県,Saitama-ken,,40.5,46,60.1,46,18.8,47,19.3,37,106.1,46,7.2,45,0.1,45,569.3,46,721.3,45,11,11,埼 玉 県,Saitama-ken,,853.2,42,"5,806.4",41,51.3,44,
12,千葉県,Chiba-ken,,0.764,4,1.0,22,186.6,33,92.7,31,60.3,6,60.3,11,8.9,45,42.90,5,10.03,43,12,12,千 葉 県,Chiba-ken,,10.24,40,124.5,5,63.0,24,"3,427.0",4,15.41,13,5.47,6,6.63,15,2.89,25,0.38,27,12,12,千 葉 県,Chiba-ken,,3.56,23,0.26,47,2.42,43,9.96,15,6.47,46,9.34,1,4.91,28,28.14,3,0.20,36,12,12,千 葉 県,Chiba-ken,,34.82,3,2.16,19,8.74,45,613.9,45,164.0,46,45.1,47,150.7,47,358.2,44,"1,855.4",17,12,12,千 葉 県,Chiba-ken,,45.5,42,53.1,47,24.6,15,17.2,42,118.5,43,7.6,43,2.0,36,707.3,38,824.6,39,12,12,千 葉 県,Chiba-ken,,840.4,44,"6,351.3",32,87.0,40,
13,東京都,Tokyo-to,,0.925,1,4.1,3,79.1,46,84.8,47,90.4,1,77.9,1,11.6,42,69.09,1,0.00,47,13,13,東 京 都,Tokyo-to,,5.63,47,230.2,1,106.6,1,"4,288.8",1,13.11,35,4.56,24,4.25,43,3.80,9,0.46,20,13,13,東 京 都,Tokyo-to,,3.90,16,0.39,42,0.31,47,4.91,34,11.97,26,9.09,4,2.64,47,14.33,46,0.07,43,13,13,東 京 都,Tokyo-to,,22.25,43,1.98,26,11.50,40,871.4,28,246.5,10,64.3,16,212.4,22,653.9,1,"2,159.4",1,13,13,東 京 都,Tokyo-to,,54.9,32,94.0,29,44.5,1,23.0,28,117.6,44,8.3,40,0.4,43,806.0,24,986.1,18,13,13,東 京 都,Tokyo-to,,"1,073.4",18,"5,966.9",39,90.4,39,
14,神奈川県,Kanagawa-ken,,0.917,3,0.6,33,192.5,28,93.3,25,65.6,3,69.0,2,6.4,47,56.16,2,3.97,45,14,14,神奈川県,Kanagawa-ken,,9.84,42,145.0,3,71.5,7,"3,749.6",2,18.75,3,6.26,3,7.69,3,4.15,4,0.61,14,14,14,神奈川県,Kanagawa-ken,,2.82,38,0.53,31,1.25,45,1.10,47,5.11,47,9.31,2,3.60,42,29.62,2,0.00,47,14,14,神奈川県,Kanagawa-ken,,36.29,1,2.62,12,6.38,47,582.5,46,183.8,40,49.6,41,166.3,45,396.5,29,"1,919.8",8,14,14,神奈川県,Kanagawa-ken,,37.7,47,63.8,45,20.0,44,13.3,47,96.7,47,6.4,46,0.1,47,565.9,47,696.7,46,14,14,神奈川県,Kanagawa-ken,,895.0,40,"5,967.1",38,40.9,46,
