,,,,財政力指数,,実質収支比率,,地方債現在高の割合,,経常収支比率,,自主財源の割合,,一般財源の割合,,投資的経費の割合,,地方税割合,,地方交付税割合,,都,,,,,国庫支出金割合,,住 民 税,,固定資産税,,課税対象所得,,民生費割合,,社会福祉費割合,,老人福祉費割合,,児童福祉費割合,,生活保護費割合,,都,,,,,衛生費割合,,労働費割合,,農林水産業費割合,,商工費割合,,土木費割合,,警察費割合,,消防費割合,,教育費割合,,災害復旧費割合,,都,,,,,人件費割合,,扶助費割合,,普通建設事業費割合,,歳出決算総額,,民 生 費,,社会福祉費,,老人福祉費,,児童福祉費,,生活保護費,,都,,,,,衛 生 費,,土 木 費,,警 察 費,,消 防 費,,教 育 費,,社会教育費,,災害復旧費,,公立小学校費,,公立中学校費,,都,,,,,公立高等学校費,,特別支援学校費<公立>,,幼 稚 園 費,,
25,滋賀県,Shiga-ken,,0.529,17,0.3,42,211.6,11,92.9,28,44.6,25,61.1,8,15.4,31,31.85,13,23.00,28,25,25,滋 賀 県,Shiga-ken,,11.79,28,112.0,12,68.0,12,"3,175.7",10,15.02,17,4.90,14,5.97,26,3.92,6,0.22,38,25,25,滋 賀 県,Shiga-ken,,4.05,12,0.52,32,5.15,29,4.41,36,10.44,35,5.76,17,5.41,17,27.54,4,1.37,8,25,25,滋 賀 県,Shiga-ken,,33.06,5,1.73,32,14.01,34,759.4,40,187.3,38,55.3,30,195.9,34,404.8,27,"1,648.4",43,25,25,滋 賀 県,Shiga-ken,,56.6,28,77.0,39,20.4,40,21.9,32,149.2,23,11.8,18,7.0,14,692.0,40,808.0,40,25,25,滋 賀 県,Shiga-ken,,946.9,34,"5,528.4",43,642.8,1,
26,京都府,Kyoto-fu,,0.553,16,0.1,47,203.5,18,94.3,15,49.4,17,54.1,36,12.9,37,29.99,17,18.38,33,26,26,京 都 府,Kyoto-fu,,8.99,44,111.3,13,65.1,16,"3,266.4",9,15.87,10,5.57,5,7.24,5,2.64,28,0.42,24,26,26,京 都 府,Kyoto-fu,,2.47,43,0.88,6,4.23,38,12.36,6,8.40,43,8.08,5,3.87,37,24.62,15,0.96,13,26,26,京 都 府,Kyoto-fu,,29.31,19,1.43,38,11.92,39,833.0,30,234.5,16,65.4,14,219.2,14,440.3,14,"1,738.0",35,26,26,京 都 府,Kyoto-fu,,45.0,44,76.6,40,29.2,4,18.2,40,132.7,36,9.4,36,6.6,16,743.9,33,899.7,32,26,26,京 都 府,Kyoto-fu,,"1,252.6",6,"7,245.3",17,192.2,25,
27,大阪府,Osaka-fu,,0.738,6,0.4,37,200.3,21,99.9,1,63.0,4,55.7,30,7.0,46,39.07,7,9.81,44,27,27,大 阪 府,Osaka-fu,,8.86,46,125.3,4,72.3,5,"3,318.0",8,17.05,5,6.41,2,7.07,7,3.33,14,0.24,35,27,27,大 阪 府,Osaka-fu,,2.19,46,0.48,37,0.40,46,13.19,4,7.61,45,9.29,3,3.31,44,24.55,16,0.02,45,27,27,大 阪 府,Osaka-fu,,29.75,17,1.73,31,6.96,46,758.5,41,249.1,7,63.7,18,195.7,35,424.7,18,"1,978.3",4,27,27,大 阪 府,Osaka-fu,,40.9,45,68.4,44,29.4,3,14.6,46,119.2,42,5.6,47,0.2,44,687.4,41,829.5,37,27,27,大 阪 府,Osaka-fu,,839.4,45,"6,515.2",30,158.3,29,
28,兵庫県,Hyogo-ken,,0.604,9,0.2,44,220.1,9,96.0,8,54.3,9,51.9,39,11.6,41,31.40,14,15.08,39,28,28,兵 庫 県,Hyogo-ken,,9.21,43,117.7,8,69.3,10,"3,404.6",5,13.84,31,4.56,23,6.28,21,2.75,26,0.23,36,28,28,兵 庫 県,Hyogo-ken,,2.92,35,0.68,11,5.09,31,13.33,3,8.98,41,6.45,10,3.68,40,22.42,25,0.50,22,28,28,兵 庫 県,Hyogo-ken,,27.05,29,1.37,40,11.09,42,787.4,36,205.0,27,54.9,31,190.9,38,381.5,35,"1,862.3",15,28,28,兵 庫 県,Hyogo-ken,,49.3,37,82.6,37,23.3,20,15.7,44,124.1,40,7.6,44,2.9,29,713.9,37,763.2,43,28,28,兵 庫 県,Hyogo-ken,,961.3,31,"6,937.9",22,261.6,17,
29,奈良県,Nara-ken,,0.401,27,0.8,31,230.9,6,92.0,37,37.7,39,63.0,3,15.4,32,25.74,22,30.79,11,29,29,奈 良 県,Nara-ken,,13.30,19,102.0,23,49.2,46,"3,352.7",6,15.94,9,4.86,15,6.65,14,3.18,21,1.25,4,29,29,奈 良 県,Nara-ken,,4.29,7,0.39,41,3.40,41,1.55,45,12.11,24,5.78,16,6.34,4,25.06,10,1.24,10,29,29,奈 良 県,Nara-ken,,30.85,9,3.05,8,14.13,33,748.1,42,189.9,35,53.7,34,184.6,40,358.5,43,"1,703.5",39,29,29,奈 良 県,Nara-ken,,56.8,26,75.4,43,20.1,42,25.4,18,131.0,37,11.1,27,6.1,17,686.2,42,829.0,38,29,29,奈 良 県,Nara-ken,,841.6,43,"5,450.0",45,434.3,7,
30,和歌山県,Wakayama-ken,,0.307,38,1.7,12,183.3,36,92.2,34,39.6,34,51.2,41,23.7,7,16.58,40,29.42,14,30,30,和歌山県,Wakayama-ken,,15.01,12,89.5,33,58.1,31,"2,936.6",23,12.59,39,4.19,33,5.24,38,2.41,35,0.73,9,30,30,和歌山県,Wakayama-ken,,2.90,37,0.32,45,5.11,30,13.57,2,18.05,2,5.19,25,5.13,22,19.59,39,1.87,4,30,30,和歌山県,Wakayama-ken,,26.10,31,1.98,25,21.86,7,"1,077.0",10,234.6,15,70.2,8,218.7,15,416.4,19,"1,910.2",9,30,30,和歌山県,Wakayama-ken,,79.0,6,155.5,7,28.9,6,26.6,16,156.3,18,9.7,33,14.4,5,823.2,21,920.6,29,30,30,和歌山県,Wakayama-ken,,946.8,35,"6,543.6",28,240.3,19,
31,鳥取県,Tottori-ken,,0.243,45,3.9,4,193.5,27,89.3,45,31.9,44,60.2,12,22.1,11,15.49,41,38.75,2,31,31,鳥 取 県,Tottori-ken,,13.86,16,82.2,39,55.3,37,"2,628.8",44,13.34,33,4.05,35,5.26,37,3.81,8,0.23,37,31,31,鳥 取 県,Tottori-ken,,4.23,8,0.88,7,8.08,16,3.71,38,16.10,4,4.64,35,5.49,14,21.27,31,0.71,17,31,31,鳥 取 県,Tottori-ken,,25.89,32,1.53,35,21.37,10,"1,162.9",7,252.1,5,71.9,4,223.5,11,556.3,2,"1,664.5",40,31,31,鳥 取 県,Tottori-ken,,70.0,11,142.7,9,27.6,9,31.2,7,180.5,3,23.3,1,6.0,18,802.0,25,"1,170.3",3,31,31,鳥 取 県,Tottori-ken,,"1,265.5",5,"7,327.5",14,132.3,31,
32,島根県,Shimane-ken,,0.229,47,1.8,11,188.7,31,90.5,43,34.7,43,51.9,40,24.6,3,12.76,45,34.52,4,32,32,島 根 県,Shimane-ken,,15.75,9,86.5,34,57.6,32,"2,677.5",41,10.10,45,3.17,43,4.57,40,2.30,40,0.05,47,32,32,島 根 県,Shimane-ken,,3.58,22,0.59,23,8.17,15,12.34,7,15.79,5,4.03,42,4.94,27,18.11,41,1.69,5,32,32,島 根 県,Shimane-ken,,22.80,41,2.01,22,22.96,5,"1,400.5",3,248.4,8,71.6,6,242.5,4,515.5,3,"1,755.8",31,32,32,島 根 県,Shimane-ken,,85.7,3,178.3,3,30.0,2,32.4,5,194.7,1,20.2,2,26.4,4,"1,001.2",3,"1,082.5",8,32,32,島 根 県,Shimane-ken,,"1,398.0",2,"9,431.2",1,599.0,2,
33,岡山県,Okayama-ken,,0.484,19,0.4,37,200.4,20,92.7,31,48.2,18,60.6,10,12.4,39,30.23,16,24.10,26,33,33,岡 山 県,Okayama-ken,,10.24,39,101.6,25,64.8,18,"2,967.4",20,14.57,19,4.42,31,7.54,4,2.42,34,0.19,39,33,33,岡 山 県,Okayama-ken,,2.59,42,0.26,46,14.15,1,2.09,40,8.99,40,6.43,11,4.26,35,25.66,8,0.31,30,33,33,岡 山 県,Okayama-ken,,31.91,6,1.66,34,12.06,38,817.8,31,200.0,31,53.1,35,210.7,24,378.2,36,"1,792.0",25,33,33,岡 山 県,Okayama-ken,,62.9,17,87.9,35,23.1,21,19.5,35,141.7,31,9.0,38,2.6,32,817.3,23,945.6,26,33,33,岡 山 県,Okayama-ken,,"1,037.1",24,"6,165.5",35,444.7,6,
34,広島県,Hiroshima-ken,,0.566,13,0.8,31,236.7,5,91.2,39,46.7,22,62.4,6,11.7,40,35.09,8,20.19,31,34,34,広 島 県,Hiroshima-ken,,11.24,34,112.2,11,65.0,17,"3,103.5",12,16.69,6,5.41,7,7.83,1,3.32,15,0.08,45,34,34,広 島 県,Hiroshima-ken,,4.17,10,0.52,33,3.43,40,4.31,37,9.21,39,6.40,12,3.93,36,26.60,5,0.34,28,34,34,広 島 県,Hiroshima-ken,,31.73,7,2.76,10,11.35,41,791.4,34,208.4,25,56.8,25,199.0,32,406.4,25,"1,732.7",36,34,34,広 島 県,Hiroshima-ken,,61.4,20,88.5,33,20.6,39,18.5,39,130.4,38,9.7,35,3.6,24,743.2,34,852.2,34,34,34,広 島 県,Hiroshima-ken,,"1,116.3",13,"6,558.8",27,95.3,37,
35,山口県,Yamaguchi-ken,,0.409,26,1.4,16,199.4,22,94.1,17,42.7,30,54.7,34,16.9,28,22.69,25,26.21,22,35,35,山 口 県,Yamaguchi-ken,,12.76,22,98.9,28,63.1,23,"2,888.3",27,13.23,34,3.91,36,6.66,13,2.46,31,0.19,40,35,35,山 口 県,Yamaguchi-ken,,3.50,24,0.55,27,5.07,32,9.03,18,12.74,16,5.89,15,5.06,25,22.47,23,1.61,6,35,35,山 口 県,Yamaguchi-ken,,28.49,21,1.89,29,15.30,29,928.0,24,209.5,24,59.5,23,215.1,18,376.8,37,"1,862.1",16,35,35,山 口 県,Yamaguchi-ken,,63.8,16,107.6,23,27.1,11,23.7,26,151.6,20,14.3,9,12.5,6,852.6,15,988.7,17,35,35,山 口 県,Yamaguchi-ken,,"1,216.7",8,"7,208.4",18,119.8,33,
36,徳島県,Tokushima-ken,,0.300,42,3.5,6,188.3,32,92.8,29,48.0,19,52.6,38,17.5,26,16.71,39,29.42,15,36,36,徳 島 県,Tokushima-ken,,11.70,30,101.6,26,61.7,25,"2,915.7",25,12.48,40,3.34,41,5.47,33,2.59,29,1.07,6,36,36,徳 島 県,Tokushima-ken,,5.57,1,0.97,4,7.02,20,11.79,9,11.72,28,4.62,37,5.86,8,17.17,43,0.39,24,36,36,徳 島 県,Tokushima-ken,,23.80,40,2.44,14,17.15,22,"1,132.9",9,242.6,12,64.2,17,248.6,3,448.4,11,"1,741.1",34,36,36,徳 島 県,Tokushima-ken,,85.4,4,115.1,17,28.7,7,29.9,9,156.8,17,9.9,32,5.0,19,924.4,8,"1,025.4",13,36,36,徳 島 県,Tokushima-ken,,"1,030.5",25,"7,262.4",16,579.9,4,
37,香川県,Kagawa-ken,,0.443,23,1.5,13,205.4,17,94.8,12,47.6,20,59.4,15,12.5,38,26.95,20,26.24,21,37,37,香 川 県,Kagawa-ken,,10.01,41,109.8,16,60.1,28,"2,928.9",24,13.80,32,4.44,28,6.37,19,2.36,36,0.63,13,37,37,香 川 県,Kagawa-ken,,5.08,3,0.51,34,4.24,37,11.20,12,10.45,34,6.18,13,5.12,23,23.53,21,0.20,37,37,37,香 川 県,Kagawa-ken,,29.84,16,2.23,18,12.32,37,865.6,29,204.2,28,56.2,27,203.8,31,410.1,23,"1,873.1",14,37,37,香 川 県,Kagawa-ken,,66.2,14,76.3,41,26.4,13,22.5,31,163.9,11,11.0,28,1.2,41,839.2,19,"1,145.0",5,37,37,香 川 県,Kagawa-ken,,"1,150.1",11,"7,813.0",8,584.8,3,
38,愛媛県,Ehime-ken,,0.396,29,0.6,33,173.2,39,89.3,45,43.8,27,55.7,29,17.6,24,22.40,27,27.33,20,38,38,愛 媛 県,Ehime-ken,,12.16,24,90.3,32,64.0,21,"2,844.3",32,14.32,22,4.64,21,6.76,11,2.36,37,0.56,15,38,38,愛 媛 県,Ehime-ken,,3.95,15,0.54,29,6.60,23,10.28,13,12.73,17,4.79,31,5.45,15,22.47,24,0.27,32,38,38,愛 媛 県,Ehime-ken,,27.97,25,3.36,6,17.31,21,893.2,27,221.6,22,65.2,15,220.0,13,372.9,39,"1,873.3",13,38,38,愛 媛 県,Ehime-ken,,55.1,31,99.9,28,20.7,38,25.2,19,144.4,29,12.9,15,2.3,34,833.8,20,967.4,21,38,38,愛 媛 県,Ehime-ken,,"1,188.2",10,"6,582.3",25,160.8,28,
39,高知県,Kochi-ken,,0.233,46,0.9,24,194.4,24,94.5,14,29.9,46,59.8,14,22.9,9,14.81,44,38.95,1,39,39,高 知 県,Kochi-ken,,14.09,14,82.0,40,52.5,40,"2,686.0",40,13.98,28,4.14,34,6.13,24,2.73,27,0.97,8,39,39,高 知 県,Kochi-ken,,3.88,17,0.87,8,8.48,11,1.84,41,16.57,3,4.99,28,7.98,2,23.68,20,1.02,11,39,39,高 知 県,Kochi-ken,,27.36,27,2.62,13,21.88,6,"1,193.0",5,279.9,2,74.5,2,238.7,5,505.6,4,"1,751.4",32,39,39,高 知 県,Kochi-ken,,71.8,10,145.3,8,29.1,5,48.6,1,188.3,2,15.5,6,12.5,7,"1,046.9",1,"1,348.4",1,39,39,高 知 県,Kochi-ken,,"1,512.7",1,"8,566.6",4,311.8,12,
40,福岡県,Fukuoka-ken,,0.596,10,0.4,37,210.0,12,95.5,11,50.9,16,57.1,20,15.0,33,33.39,10,16.46,38,40,40,福 岡 県,Fukuoka-ken,,13.54,18,102.8,22,60.2,27,"3,052.0",15,19.68,2,4.55,25,7.82,2,4.88,1,2.42,1,40,40,福 岡 県,Fukuoka-ken,,2.44,44,0.66,16,3.69,39,7.83,22,10.77,32,7.59,7,3.61,41,24.78,12,0.36,25,40,40,福 岡 県,Fukuoka-ken,,30.34,11,3.92,1,14.68,30,800.4,33,233.9,17,57.5,24,217.6,16,447.5,12,"1,875.8",11,40,40,福 岡 県,Fukuoka-ken,,49.2,38,88.1,34,24.0,19,17.5,41,125.1,39,10.7,29,2.9,28,678.4,43,835.4,36,40,40,福 岡 県,Fukuoka-ken,,899.4,39,"5,830.8",40,97.6,36,
41,佐賀県,Saga-ken,,0.312,37,2.1,7,168.8,40,91.6,38,37.6,40,58.3,18,23.4,8,19.39,33,32.93,5,41,41,佐 賀 県,Saga-ken,,13.74,17,84.4,35,55.5,35,"2,696.2",39,14.30,24,4.73,20,5.81,28,3.28,19,0.48,19,41,41,佐 賀 県,Saga-ken,,3.69,19,0.66,15,8.31,13,7.91,21,12.60,18,5.25,22,5.79,9,22.25,27,0.13,40,41,41,佐 賀 県,Saga-ken,,28.49,20,2.28,17,23.26,4,"1,010.2",17,226.6,21,65.6,13,249.2,2,411.6,20,"1,982.0",3,41,41,佐 賀 県,Saga-ken,,68.3,13,105.6,25,26.9,12,28.8,13,168.1,7,14.0,11,2.1,35,819.8,22,"1,168.8",4,41,41,佐 賀 県,Saga-ken,,"1,029.7",26,"8,105.0",7,57.5,42,
42,長崎県,Nagasaki-ken,,0.301,41,0.2,44,183.7,35,96.9,5,35.0,42,55.0,31,21.2,16,17.17,38,32.22,7,42,42,長 崎 県,Nagasaki-ken,,16.38,7,80.1,42,47.1,47,"2,721.1",36,15.32,14,5.13,9,6.39,18,3.31,18,0.48,18,42,42,長 崎 県,Nagasaki-ken,,4.03,13,0.54,28,8.61,9,6.43,29,12.58,19,5.67,19,4.41,33,23.01,22,0.21,35,42,42,長 崎 県,Nagasaki-ken,,28.27,23,3.45,3,21.00,12,"1,038.6",14,249.1,6,69.4,9,233.8,7,433.0,15,"1,660.4",41,42,42,長 崎 県,Nagasaki-ken,,85.9,2,110.9,20,27.3,10,24.5,21,157.1,16,11.7,20,3.0,27,917.4,10,994.6,16,42,42,長 崎 県,Nagasaki-ken,,"1,060.3",19,"6,860.1",23,192.9,24,
43,熊本県,Kumamoto-ken,,0.369,32,3.7,5,193.8,26,94.2,16,39.6,35,55.9,28,21.5,13,21.28,28,28.18,17,43,43,熊 本 県,Kumamoto-ken,,15.93,8,81.8,41,50.9,45,"2,747.5",34,15.83,11,4.76,19,6.81,10,3.62,11,0.63,12,43,43,熊 本 県,Kumamoto-ken,,4.77,4,0.54,30,9.82,3,3.64,39,12.26,21,4.92,29,5.34,19,22.36,26,0.61,21,43,43,熊 本 県,Kumamoto-ken,,27.62,26,3.18,7,20.86,13,918.2,25,237.1,14,67.5,10,228.0,9,462.4,8,"1,770.8",30,43,43,熊 本 県,Kumamoto-ken,,62.3,19,103.1,26,20.7,37,26.6,17,137.0,34,10.3,30,4.4,21,773.2,28,901.8,31,43,43,熊 本 県,Kumamoto-ken,,961.0,32,"7,316.9",15,178.6,26,
44,大分県,Oita-ken,,0.343,33,0.9,24,190.1,30,93.2,26,37.8,38,56.5,24,22.3,10,19.84,31,30.72,12,44,44,大 分 県,Oita-ken,,15.43,11,82.9,37,58.9,29,"2,768.7",33,13.96,29,4.43,30,6.16,22,3.06,22,0.31,30,44,44,大 分 県,Oita-ken,,2.39,45,0.59,22,8.42,12,6.79,25,14.59,9,5.14,26,4.83,29,21.68,29,0.80,16,44,44,大 分 県,Oita-ken,,28.02,24,2.00,23,21.50,9,938.1,22,227.3,20,63.4,19,214.7,20,407.3,24,"1,928.7",7,44,44,大 分 県,Oita-ken,,48.5,39,112.9,19,24.2,17,22.6,30,147.8,25,11.4,25,8.2,10,864.5,14,973.1,19,44,44,大 分 県,Oita-ken,,"1,099.8",15,"7,453.5",13,317.7,11,
45,宮崎県,Miyazaki-ken,,0.304,40,2.0,8,181.3,37,91.0,41,39.1,36,54.9,33,20.2,17,17.42,37,32.28,6,45,45,宮 崎 県,Miyazaki-ken,,13.87,15,74.8,44,53.9,38,"2,625.9",45,14.03,26,4.37,32,5.44,35,3.54,12,0.67,10,45,45,宮 崎 県,Miyazaki-ken,,3.44,26,0.46,38,11.26,2,6.67,26,12.17,23,4.78,32,3.83,38,19.98,37,0.34,29,45,45,宮 崎 県,Miyazaki-ken,,25.88,33,2.33,15,19.88,15,"1,000.7",18,240.9,13,66.3,12,223.4,12,471.7,6,"1,714.0",37,45,45,宮 崎 県,Miyazaki-ken,,59.7,23,108.8,22,24.3,16,18.9,38,145.4,28,10.1,31,3.8,23,747.9,32,961.1,24,45,45,宮 崎 県,Miyazaki-ken,,919.2,37,"6,244.6",33,100.2,35,
46,鹿児島県,Kagoshima-ken,,0.306,39,0.9,24,221.0,8,97.1,4,30.9,45,59.4,16,20.1,18,18.57,35,34.86,3,46,46,鹿児島県,Kagoshima-ken,,17.44,6,75.7,43,52.3,42,"2,701.7",37,16.60,7,4.97,12,6.98,8,3.67,10,0.97,7,46,46,鹿児島県,Kagoshima-ken,,4.15,11,0.55,25,9.71,6,1.10,46,12.20,22,4.77,33,5.39,18,24.39,17,0.28,31,46,46,鹿児島県,Kagoshima-ken,,29.31,18,3.40,5,19.79,16,996.6,20,254.7,4,71.8,5,256.1,1,428.8,16,"1,813.6",24,46,46,鹿児島県,Kagoshima-ken,,59.3,24,109.2,21,21.6,29,29.3,12,159.7,13,11.5,23,3.4,25,923.1,9,"1,025.4",12,46,46,鹿児島県,Kagoshima-ken,,"1,325.3",3,"7,799.1",10,132.2,32,
47,沖縄県,Okinawa-ken,,0.296,43,1.0,22,93.0,45,93.5,21,27.2,47,47.9,43,24.4,4,15.15,43,28.36,16,47,47,沖 縄 県,Okinawa-ken,,32.93,1,70.8,47,55.9,33,"2,696.7",38,16.28,8,6.21,4,4.00,45,4.71,2,1.33,3,47,47,沖 縄 県,Okinawa-ken,,4.01,14,0.78,10,8.92,8,5.93,32,13.48,13,4.34,40,3.26,45,21.95,28,0.12,41,47,47,沖 縄 県,Okinawa-ken,,25.67,36,3.46,2,24.32,1,"1,036.5",15,272.2,3,89.0,1,229.6,8,455.5,9,"1,781.6",27,47,47,沖 縄 県,Okinawa-ken,,55.5,29,123.2,14,22.0,28,17.2,43,167.7,9,11.4,24,1.3,40,700.5,39,772.6,42,47,47,沖 縄 県,Okinawa-ken,,948.1,33,"6,758.6",24,455.8,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
