,,,,,,,,,,,,,
香川県,高松駅,0.10(35),0.60(35),2.25(36),6.83(29),14.77(28),24.58(31),35.88(38),49.66(41),65.89(42),82.00(44),94.31(45),97.53(47)
高知県,高知駅,0.10(36),0.43(42),1.32(42),3.90(42),10.08(41),20.40(41),35.34(39),54.13(38),71.65(38),86.25(40),95.87(40),98.85(34)
和歌山県,和歌山駅,0.10(33),0.51(39),1.80(39),5.26(37),12.12(36),24.52(32),42.74(29),61.11(28),77.62(27),90.47(26),96.86(32),99.07(17)
秋田県,秋田駅,0.09(38),0.58(38),2.07(37),5.72(36),12.68(34),24.01(34),38.22(34),55.82(35),73.80(34),89.14(32),97.25(27),99.07(17)
山梨県,甲府駅,0.09(39),0.65(34),2.53(34),6.27(34),12.73(33),23.28(36),38.01(36),56.71(32),75.22(31),89.87(28),97.31(25),99.05(21)
鹿児島県,鹿児島中央駅,0.09(37),0.69(33),2.31(35),5.18(38),11.43(38),20.41(40),32.28(41),50.20(40),70.14(40),86.82(37),96.58(34),98.93(31)
青森県,青森駅,0.08(41),0.59(36),2.62(32),6.52(31),14.29(29),25.98(28),41.40(30),60.62(29),77.62(28),90.93(23),97.28(26),98.97(29)
大分県,大分駅,0.08(40),0.59(37),1.80(38),4.42(39),9.53(43),17.83(44),30.47(44),46.34(43),63.93(45),81.62(45),94.46(44),98.65(44)
島根県,松江駅,0.07(42),0.42(43),1.19(43),3.22(44),7.78(45),16.12(45),29.23(45),45.90(44),64.99(43),82.41(43),94.77(43),98.69(43)
宮崎県,宮崎駅,0.07(43),0.45(40),1.45(41),4.11(40),11.05(39),21.60(38),36.86(37),55.92(34),74.11(32),88.79(33),96.32(35),98.80(37)
愛媛県,松山駅,0.06(45),0.42(44),1.10(45),3.84(43),10.66(40),22.43(37),38.35(32),58.09(31),75.37(30),89.18(31),97.04(29),98.96(30)
鳥取県,鳥取駅,0.06(44),0.40(45),1.46(40),4.08(41),10.01(42),18.98(42),31.24(43),47.26(42),66.25(41),83.70(41),95.59(42),98.93(31)
長崎県,長崎駅,0.05(46),0.28(46),1.07(46),2.69(46),7.06(46),14.89(47),26.55(47),44.03(46),64.53(44),83.05(42),95.62(41),98.73(41)
沖縄県,那覇空港,0.03(47),0.17(47),0.49(47),2.34(47),7.79(44),17.98(43),33.54(40),53.93(39),73.54(35),89.30(30),97.43(24),99.00(26)
